pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url	category
2016-01-01	MatrixProfile I: All Pairs Similarity Joins for Time Series.	Proceedings of the IEEE International Conference on Data Mining		"Yeh, C. M., et al. ""MatrixProfile I: All Pairs Similarity Joins for Time Series."" Proceedings of the IEEE International Conference on Data Mining, 2016, pp. 1317-1322."	Conf.2016.4	https://diegofurts.github.io/files/Conf.2016.4		conferences
2016-01-01	Improved Time Series Classification with Representation Diversity and SVM.	Proceedings of the 15th IEEE International Conference on Machine Learning and Applications		"Giusti, R., et al. ""Improved Time Series Classification with Representation Diversity and SVM."" Proceedings of the 15th IEEE International Conference on Machine Learning and Applications, 2016, pp. 1-6."	Conf.2016.5	https://diegofurts.github.io/files/Conf.2016.5		conferences
2015-01-01	Music Shapelets for Fast Cover Song Recognition.	Proceedings of the 16th International Society for Music Information Retrieval Conference		"Silva, D. F., et al. ""Music Shapelets for Fast Cover Song Recognition."" Proceedings of the 16th International Society for Music Information Retrieval Conference, 2015, pp. 441-447."	Conf.2015.1	https://diegofurts.github.io/files/Conf.2015.1		conferences
2015-01-01	Data Stream Classification Guided by Clustering on Nonstationary Environments.	Proceedings of the SIAM International Conference on Data Mining		"Souza, V. M. A., et al. ""Data Stream Classification Guided by Clustering on Nonstationary Environments."" Proceedings of the SIAM International Conference on Data Mining, 2015, pp. 873-881."	Conf.2015.2	https://diegofurts.github.io/files/Conf.2015.2		conferences
2015-01-01	Classification of Evolving Data Streams with Infinitely Delayed Labels.	Proceedings of the 14th IEEE International Conference on Machine Learning and Applications		"Souza, V. M. A., et al. ""Classification of Evolving Data Streams with Infinitely Delayed Labels."" Proceedings of the 14th IEEE International Conference on Machine Learning and Applications, 2015, pp. 214-219."	Conf.2015.3	https://diegofurts.github.io/files/Conf.2015.3		conferences
2015-01-01	Time Series Classification with Representation Ensembles.	International Symposium on Intelligent Data Analysis		"Giusti, R., et al. ""Time Series Classification with Representation Ensembles."" International Symposium on Intelligent Data Analysis, 2015, pp. 108-119."	Conf.2015.4	https://diegofurts.github.io/files/Conf.2015.4		conferences
2014-01-01	Music Classification by Transductive Learning Using Bipartite Heterogeneous Networks.	Proceedings of the 15th International Society for Music Information Retrieval Conference		"Silva, D. F., et al. ""Music Classification by Transductive Learning Using Bipartite Heterogeneous Networks."" Proceedings of the 15th International Society for Music Information Retrieval Conference, 2014, pp. 113-118."	Conf.2014.1	https://diegofurts.github.io/files/Conf.2014.1		conferences
2014-01-01	Extracting Texture Features for Time Series Classification.	Proceedings of the 22nd International Conference on Pattern Recognition		"Souza, V. M. A., et al. ""Extracting Texture Features for Time Series Classification."" Proceedings of the 22nd International Conference on Pattern Recognition, 2014, pp. 1425-1430."	Conf.2014.2	https://diegofurts.github.io/files/Conf.2014.2		conferences
2014-01-01	Adding Diversity to Rank Examples in Anytime Nearest Neighbor Classification.	Proceedings of the 13th IEEE International Conference on Machine Learning and Applications		"Lemes, C. I., et al. ""Adding Diversity to Rank Examples in Anytime Nearest Neighbor Classification."" Proceedings of the 13th IEEE International Conference on Machine Learning and Applications, 2014, pp. 129-134."	Conf.2014.3	https://diegofurts.github.io/files/Conf.2014.3		conferences
2013-01-01	Time Series Classification Using Compression Distance of Recurrence Plots.	Proceedings of the IEEE International Conference on Data Mining		"Silva, D. F., et al. ""Time Series Classification Using Compression Distance of Recurrence Plots."" Proceedings of the IEEE International Conference on Data Mining, 2013, pp. 687-696."	Conf.2013.1	https://diegofurts.github.io/files/Conf.2013.1		conferences
2013-01-01	A Video Compression-based Approach To Measure Music Structural Similarity.	Proceedings of the 14th International Society for Music Information Retrieval Conference		"Silva, D. F., et al. ""A Video Compression-based Approach To Measure Music Structural Similarity."" Proceedings of the 14th International Society for Music Information Retrieval Conference, 2013, pp. 95-100."	Conf.2013.2	https://diegofurts.github.io/files/Conf.2013.2		conferences
2013-01-01	Applying Machine Learning and Audio Analysis Techniques to Insect Recognition in Intelligent Traps.	Proceedings of the 12th IEEE International Conference on Machine Learning and Applications		"Silva, D. F., et al. ""Applying Machine Learning and Audio Analysis Techniques to Insect Recognition in Intelligent Traps."" Proceedings of the 12th IEEE International Conference on Machine Learning and Applications, 2013, pp. 99-104."	Conf.2013.3	https://diegofurts.github.io/files/Conf.2013.3		conferences
2013-01-01	Avaliação de Classificadores para o Reconhecimento Automático de Insetos.	Encontro Nacional de Inteligencia Artificial e Computacional (ENIAC)		"Souza, V. M. A., et al. ""Avaliação de Classificadores para o Reconhecimento Automático de Insetos."" Anais do Encontro Nacional de Inteligência Artificial e Computacional, 2013, pp. 1-12."	Conf.2013.4	https://diegofurts.github.io/files/Conf.2013.4		conferences
2013-01-01	Classification of Data Streams Applied to Insect Recognition.	Proceedings of the Brazilian Conference on Intelligent Systems		"Souza, V. M. A., et al. ""Classification of Data Streams Applied to Insect Recognition: Initial Results."" Proceedings of the Brazilian Conference on Intelligent Systems, 2013, pp. 76-81."	Conf.2013.5	https://diegofurts.github.io/files/Conf.2013.5		conferences
2012-01-01	Spoken Digit Recognition in Portuguese Using Line Spectral Frequencies.	Proceedings of the 13th Ibero-American Conference on Artificial Intelligence		"Silva, D. F., et al. ""Spoken Digit Recognition in Portuguese Using Line Spectral Frequencies."" Proceedings of the 13th Ibero-American Conference on Artificial Intelligence, 2012, pp. 241-250."	Conf.2012.1	https://diegofurts.github.io/files/Conf.2012.1		conferences
2012-01-01	An Experimental Design to Evaluate Class Imbalance Treatment Methods.	Proceedings of the 11th IEEE International Conference on Machine Learning and Applications		"Batista, G. E. A. P. A., et al. ""An Experimental Design to Evaluate Class Imbalance Treatment Methods."" Proceedings of the 11th IEEE International Conference on Machine Learning and Applications, 2012, pp. 95-101."	Conf.2012.2	https://diegofurts.github.io/files/Conf.2012.2		conferences
2011-01-01	Resultados Preliminares na Classificação de Insetos Utilizando Sensores Ópticos.	Anais do XXXI Congresso da Sociedade Brasileira de Computacao		"Silva, D. F., et al. ""Resultados Preliminares na Classificação de Insetos Utilizando Sensores Ópticos."" Anais do XXXI Congresso da Sociedade Brasileira de Computação, 2011, pp. 749-760."	Conf.2011.1	https://diegofurts.github.io/files/Conf.2011.1		conferences
2009-01-01	How k-Nearest Neighbor Parameters Affect its Performance.	Proceedings of the Argentine Symposium on Artificial Intelligence		"Batista, G. E. A. P. A., & Silva, D. F. ""How k-Nearest Neighbor Parameters Affect its Performance."" Proceedings of the Argentine Symposium on Artificial Intelligence, 2009, pp. 1-12."	Conf.2009.1	https://diegofurts.github.io/files/Conf.2009.1		conferences
2009-01-01	Uma Comparação Experimental de Métodos de Imputação de Valores Desconhecidos.	Anais do IV Congresso da Academia Trinacional de Ciencias		"Silva, D. F., & Batista, G. E. A. P. A. ""Uma Comparação Experimental de Métodos de Imputação de Valores Desconhecidos."" Anais do IV Congresso da Academia Trinacional de Ciências, 2009, pp. 1-10."	Conf.2009.2	https://diegofurts.github.io/files/Conf.2009.2		conferences
